pcode,year,month,rainfall_mm,rainfall_historic_avg_mm,rainfall_anomaly_pct,rice_price_usd_per_kg,flour_price_usd_per_kg,oil_price_usd_per_l,lentils_price_usd_per_kg,avg_food_price_usd_per_kg,debt_service_total_usd,debt_stock_pct_gni,debt_stock_total_usd,date
BD10,1999,1,11.3963111,10.6981731,6.5257684043269055,0.25,0.34,0.93,0.79,0.25,691197510.9,31.1302505036908,16449663349.3,1999-01-01
BD10,1999,2,17.7025033,36.593272,-51.62361184864802,0.25,0.34,0.93,0.79,0.25,691197510.9,31.1302505036908,16449663349.3,1999-02-01
BD10,1999,3,46.8181816,99.255492,-52.83063873180942,0.25,0.34,0.93,0.79,0.25,691197510.9,31.1302505036908,16449663349.3,1999-03-01
BD10,1999,4,33.8837942,221.155743,-84.67876359873685,0.25,0.34,0.93,0.79,0.25,691197510.9,31.1302505036908,16449663349.3,1999-04-01
BD10,1999,5,761.79603,508.682385,49.75868094980328,0.25,0.34,0.93,0.79,0.25,691197510.9,31.1302505036908,16449663349.3,1999-05-01
BD10,1999,6,936.844006,888.34484,5.459497687857348,0.25,0.34,0.93,0.79,0.25,691197510.9,31.1302505036908,16449663349.3,1999-06-01
BD10,1999,7,1434.8298,1092.24822,31.364810097836553,0.25,0.34,0.93,0.79,0.25,691197510.9,31.1302505036908,16449663349.3,1999-07-01
BD10,1999,8,1061.61474,839.2185400000001,26.500391661985912,0.25,0.34,0.93,0.79,0.25,691197510.9,31.1302505036908,16449663349.3,1999-08-01
BD10,1999,9,994.56285,671.755974,48.05418760592964,0.25,0.34,0.93,0.79,0.25,691197510.9,31.1302505036908,16449663349.3,1999-09-01
BD10,1999,10,657.459019,404.563576,62.510680150800326,0.25,0.34,0.93,0.79,0.25,691197510.9,31.1302505036908,16449663349.3,1999-10-01
BD10,1999,11,45.0584979,84.517515,-46.68738438417173,0.25,0.34,0.93,0.79,0.25,691197510.9,31.1302505036908,16449663349.3,1999-11-01
BD10,1999,12,12.7119892,16.4037775,-22.50572040494941,0.25,0.34,0.93,0.79,0.25,691197510.9,31.1302505036908,16449663349.3,1999-12-01
BD10,2000,1,10.8324111,10.6981731,1.2547749858337949,0.25,0.34,0.93,0.79,0.25,773322606.1,28.312285791779,15600564697.1,2000-01-01
BD10,2000,2,44.769434100000005,36.593272,22.34334797937721,0.25,0.34,0.93,0.79,0.25,773322606.1,28.312285791779,15600564697.1,2000-02-01
BD10,2000,3,84.01080400000001,99.255492,-15.359037261132105,0.25,0.34,0.93,0.79,0.25,773322606.1,28.312285791779,15600564697.1,2000-03-01
BD10,2000,4,306.1111985,221.155743,38.414311266608166,0.25,0.34,0.93,0.79,0.25,773322606.1,28.312285791779,15600564697.1,2000-04-01
BD10,2000,5,923.797095,508.682385,81.60587475424374,0.25,0.34,0.93,0.79,0.25,773322606.1,28.312285791779,15600564697.1,2000-05-01
BD10,2000,6,852.76995,888.34484,-4.0046261764744395,0.25,0.34,0.93,0.79,0.25,773322606.1,28.312285791779,15600564697.1,2000-06-01
BD10,2000,7,944.041635,1092.24822,-13.568947267316206,0.25,0.34,0.93,0.79,0.25,773322606.1,28.312285791779,15600564697.1,2000-07-01
BD10,2000,8,999.48592,839.2185400000001,19.0972163222228,0.25,0.34,0.93,0.79,0.25,773322606.1,28.312285791779,15600564697.1,2000-08-01
BD10,2000,9,576.983144,671.755974,-14.108222876779358,0.25,0.34,0.93,0.79,0.25,773322606.1,28.312285791779,15600564697.1,2000-09-01
BD10,2000,10,382.67062,404.563576,-5.4114995265911,0.25,0.34,0.93,0.79,0.25,773322606.1,28.312285791779,15600564697.1,2000-10-01
BD10,2000,11,47.4118579,84.517515,-43.90292012253318,0.25,0.34,0.93,0.79,0.25,773322606.1,28.312285791779,15600564697.1,2000-11-01
BD10,2000,12,10.9736497,16.4037775,-33.10291059483098,0.25,0.34,0.93,0.79,0.25,773322606.1,28.312285791779,15600564697.1,2000-12-01
BD10,2001,1,9.8561265,10.6981731,-7.870938263281604,0.25,0.34,0.93,0.79,0.25,666594362.0,26.9258696430478,14978802400.8,2001-01-01
BD10,2001,2,69.5054008,36.593272,89.94038248342484,0.25,0.34,0.93,0.79,0.25,666594362.0,26.9258696430478,14978802400.8,2001-02-01
BD10,2001,3,58.934124999999995,99.255492,-40.62381454922415,0.25,0.34,0.93,0.79,0.25,666594362.0,26.9258696430478,14978802400.8,2001-03-01
BD10,2001,4,124.313044,221.155743,-43.789366573220754,0.25,0.34,0.93,0.79,0.25,666594362.0,26.9258696430478,14978802400.8,2001-04-01
BD10,2001,5,724.751518,508.682385,42.47623652232424,0.25,0.34,0.93,0.79,0.25,666594362.0,26.9258696430478,14978802400.8,2001-05-01
BD10,2001,6,1215.917787,888.34484,36.87452577537346,0.25,0.34,0.93,0.79,0.25,666594362.0,26.9258696430478,14978802400.8,2001-06-01
BD10,2001,7,609.273517,1092.24822,-44.21840147288132,0.25,0.34,0.93,0.79,0.25,666594362.0,26.9258696430478,14978802400.8,2001-07-01
BD10,2001,8,1031.56285,839.2185400000001,22.919454329500386,0.25,0.34,0.93,0.79,0.25,666594362.0,26.9258696430478,14978802400.8,2001-08-01
BD10,2001,9,457.880906,671.755974,-31.838208557561714,0.25,0.34,0.93,0.79,0.25,666594362.0,26.9258696430478,14978802400.8,2001-09-01
BD10,2001,10,679.072469,404.563576,67.85309140138705,0.25,0.34,0.93,0.79,0.25,666594362.0,26.9258696430478,14978802400.8,2001-10-01
BD10,2001,11,154.910411,84.517515,83.28793860065574,0.25,0.34,0.93,0.79,0.25,666594362.0,26.9258696430478,14978802400.8,2001-11-01
BD10,2001,12,13.78498,16.4037775,-15.964600226990406,0.25,0.34,0.93,0.79,0.25,666594362.0,26.9258696430478,14978802400.8,2001-12-01
BD10,2002,1,15.6171277,10.6981731,45.979388761245595,0.25,0.34,0.93,0.79,0.25,706732882.9,29.3237754107195,16687587182.1,2002-01-01
BD10,2002,2,16.0458498,36.593272,-56.15081974631839,0.25,0.34,0.93,0.79,0.25,706732882.9,29.3237754107195,16687587182.1,2002-02-01
BD10,2002,3,92.620815,99.255492,-6.6844432144873265,0.25,0.34,0.93,0.79,0.25,706732882.9,29.3237754107195,16687587182.1,2002-03-01
BD10,2002,4,175.232941,221.155743,-20.764914976682288,0.25,0.34,0.93,0.79,0.25,706732882.9,29.3237754107195,16687587182.1,2002-04-01
BD10,2002,5,578.503026,508.682385,13.725783132828544,0.25,0.34,0.93,0.79,0.25,706732882.9,29.3237754107195,16687587182.1,2002-05-01
BD10,2002,6,1279.03795,888.34484,43.979892988403016,0.25,0.34,0.93,0.79,0.25,706732882.9,29.3237754107195,16687587182.1,2002-06-01
BD10,2002,7,1396.53862,1092.24822,27.859088660268092,0.25,0.34,0.93,0.79,0.25,706732882.9,29.3237754107195,16687587182.1,2002-07-01
BD10,2002,8,751.73491,839.2185400000001,-10.424415790432853,0.25,0.34,0.93,0.79,0.25,706732882.9,29.3237754107195,16687587182.1,2002-08-01
BD10,2002,9,574.741757,671.755974,-14.441883772514096,0.25,0.34,0.93,0.79,0.25,706732882.9,29.3237754107195,16687587182.1,2002-09-01
BD10,2002,10,183.2674688,404.563576,-54.699958258229366,0.25,0.34,0.93,0.79,0.25,706732882.9,29.3237754107195,16687587182.1,2002-10-01
BD10,2002,11,183.5536249,84.517515,117.17820844590614,0.25,0.34,0.93,0.79,0.25,706732882.9,29.3237754107195,16687587182.1,2002-11-01
BD10,2002,12,8.46139664,16.4037775,-48.41799920780442,0.25,0.34,0.93,0.79,0.25,706732882.9,29.3237754107195,16687587182.1,2002-12-01
